dummy,dummy
172103801314,GPPNK
172102801396,MSMAT
172103209436,GPPNK
172103801705,MSPNK
172108217696,MS
172104200882,GPKIM
172104200833,GPKIM
172109203709,GPPKN
172102801595,GPMAT
172111216587,GPANT
172101812381,GPBAL
172103208655,GPPNK
172103801246,GPPNK
172108208857,GPSUG
172102801260,GPMAT
172107200482,GPSUD
172104200633,GPKIM
172111216601,GPANT
172103208742,GPPNK
172106205846,GPTMA
172106206123,GPTMA
172101812327,GPBAL
172102801309,GPMAT
172101810959,MSBAL
172101810228,GPBAL
172108206916,GPSUG
172101812004,GPBAL
172112203516,GPMRS
172104200657,GPKIM
172102801021,GPMAT
172111216517,GPANT
172108217859,GPSUG
172106205682,GPTMA
172118203855,MSJNP
172103801653,MSPNK
172101812019,GPBAL
172102801169,GPMAT
172103206018,GPPNK
172101812143,MSBAL
172119300188,GPWTP
172106201648,GPTMA
172103209365,GPPNK
172101810968,GPBAL
172106201655,GPTMA
172103209281,PNK
172103209306,GPPNK
172101810964,MSBAL
172103209293,GPPNK
172107200705,GPSUD
172102801425,GPMAT
172114203770,GPBLK
172108209354,GPSUG
172102801418,GPMAT
172106206180,GPTMA
172103208791,MSPNK
172107200635,MSSUD
172107200636,MSSUD
172103800525,GPPNK
172103208968,GPPNK
172101812194,GPBAL
172103208620,MSPNK
172103801406,MSPNK
172120204388,SIN
172108206945,GPSUG
172103801414,PNK
172103801696,GPPNK
172103208515,MS PNK
172106206104,GPTMA
172101812269,GPBAL
172108209013,GPSUG
172101812204,GPBAL
172103208939,GPPNK
172102801447,GPMAT
172119212367,MSWTP
172101810909,GPBAL
172102801413,GPMAT
172108209054,GPSUG
172102801239,GPMAT
172108209361,GPSUG
172103801293,GPPNK
172102801293,GPMAT
172101812300,GPBAL
172101812280,GPBAL
172103208894,MSPNK
172119300072,GPWTP
172108217831,GPSUG
172104200692,MSKIM
172106205815,GPTMA
172107200704,GPSUD
172106205677,GPTMA
172103208687,GPPNK
172103801683,GPPNK
172106206178,GPTMA
172104200926,GPKIM
172101812404,GPBAL
172108217754,GPSUG
172119300239,GPWTP
172104200817,KIM
172102801570,GPMAT
172104200857,GPKIM
172103209252,MSPNK
172106205679,GPTMA
172104200821,GPKIM
172103800240,GPPNK
172101812226,MSBAL
172103208965,MSPNK
172103801169,MSPNK
172103209084,GPPNK
172101810887,GPBAL
172102202474,GPMAT
172111216725,GPANT
172102801392,GPMAT
172108701351,MSSUG
172108209022,GPSUG
172104200879,MSKIM
172103214554,GPPNK
172108217965,GPSUG
172104200755,GPKIM
172104200791,GPKIM
172103801571,GPPNK
172108211634,GPPNK
172103801630,GPPNK
172119300074,GPWTP
172108208844,GPSUG
172119300091,GPWTP
172106205706,GPTMA
172103209003,GPPNK
172108208862,GPSUG
172106205703,GPTMA
172103209001,GPPNK
